"pid","hid_panel","cid_panel","syear_panel","sample1_panel","inputdataset_panel","ple0010_h_panel","pla0009_h_panel","plh0258_v9_panel","plj0626_panel","plj0680_h_panel","plm0529_panel","plh0007_panel","plm0564_panel","plh0011_v2_panel","plh0012_h_panel","plm0663_panel","plm0664_panel","plm0665_panel","plm0666_panel","plm0667_panel","plm0668_panel","plm0672_panel","plm0673_panel","plm0674_panel","plm0675_panel","plj0606_panel","plj0607_panel","plj0608_panel","plj0609_panel","plj0610_panel","plj0611_panel","plj0612_panel","plj0613_panel","plj0614_panel","plj0615_panel","plj0616_panel","plj0617_panel","plj0618_panel","plj0619_panel","plj0620_panel","plj0621_panel","plj0622_panel","plj0623_panel","plj0624_panel","plj0625_panel","bgp143_bgp","bip_518_q106_bip","lr3078_bio","lr3079_bio","lb0228_bio","lr3041_bio","lr3046_bio","lr3130_bio","lr3122_bio","lr3123_bio","lr3124_bio","lr3125_bio","lr3126_bio","lr3127_bio","lr3128_bio","lr3129_bio","lr3136_bio","lr3137_bio","lr3138_bio","lr3139_bio","lr3140_bio","lr3141_bio","lr3142_bio","lr3143_bio","lr3144_bio","lr3145_bio","lr3146_bio","lm0623_bio","lm0624_bio","lr3147_bio","lr3148_bio","lr3149_bio","lr3150_bio","lr3151_bio","lr3152_bio","lr3153_bio","lr3154_bio","lr3155_bio","lr3156_bio","lr3157_bio","lr3158_bio","lr3159_bio","lr3160_bio","lr3161_bio","lr3162_bio","lr3163_bio","lr3164_bio","lr3165_bio","lr3166_bio","lr3167_bio"
36058801,3605884,3605884,2017,30,"bhp",1993,1,-5,1,3,2,4,4,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,22,2,1,2,2,3,2015,1,-2,1,-2,-2,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,-2,1,2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2
36058801,3605884,3605884,2018,30,"bip",1993,1,-5,1,-2,1,-1,4,-1,-2,-1,-1,-1,-1,-1,-1,10,10,5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,22,2,1,2,2,3,2015,1,-2,1,-2,-2,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,-2,1,2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2
36073701,3607372,3607372,2016,30,"bgp",1988,2,4,2,-2,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,4,0,0,7,7,7,10,0,10,10,10,10,7,7,1,1,5,4,19,2,1,2,-2,2,2014,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36073701,3607372,3607372,2017,30,"bhp",1988,2,-5,2,6,7,2,1,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,2,1,2,-2,2,2014,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36073701,3607372,3607372,2018,30,"bip",1988,2,-5,2,-2,1,3,3,2,-2,5,1,3,4,4,-1,8,9,9,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,2,1,2,-2,2,2014,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36073702,3607372,3607372,2016,30,"bgp",1976,1,4,2,-2,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,0,0,7,7,7,10,0,10,10,10,8,6,6,1,1,5,4,22,2,2,2,2,2,2014,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36073702,3607372,3607372,2017,30,"bhp",1976,1,-5,2,3,7,4,3,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,22,2,2,2,2,2,2014,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36073702,3607372,3607372,2018,30,"bip",1976,1,-5,2,-2,2,4,4,2,-2,3,5,1,1,1,4,9,9,9,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,22,2,2,2,2,2,2014,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36076001,3607607,3607607,2016,30,"bgp",1954,2,4,4,3,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,0,0,1,1,7,10,0,10,10,10,10,7,6,7,1,4,4,19,-2,-2,2,2,2,2015,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36076001,3607607,3607607,2017,30,"bhp",1954,2,-5,4,3,1,4,4,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,-2,-2,2,2,2,2015,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36076001,3607607,3607607,2018,30,"bip",1954,2,-5,1,-2,1,4,4,2,-2,5,1,3,4,4,4,8,9,8,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,-2,-2,2,2,2,2015,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36077101,3607712,3607712,2016,30,"bgp",1970,2,4,2,-2,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,4,0,1,7,7,10,10,10,10,10,10,4,7,1,1,4,4,19,2,1,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,-2,1,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36077101,3607712,3607712,2017,30,"bhp",1970,2,-5,2,3,1,4,4,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,2,1,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,-2,1,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36077101,3607712,3607712,2018,30,"bip",1970,2,-5,2,-2,2,4,4,2,-2,5,1,3,4,4,-1,10,10,5,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,2,1,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,-2,1,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36077103,3607712,3607712,2016,30,"bgp",1997,1,4,1,-2,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,4,5,10,10,10,7,7,7,10,10,10,10,10,10,1,1,1,1,4,4,19,2,2,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,-2,1,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36077103,3607712,3607712,2017,30,"bhp",1997,1,-5,1,6,3,4,3,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,2,2,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,-2,1,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36077103,3607712,3607712,2018,30,"bip",1997,1,-5,1,-2,4,4,4,2,-2,4,2,3,1,1,4,5,8,8,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,2,2,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,-2,1,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36078002,3607801,3607801,2016,30,"bgp",1982,1,5,2,-1,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,0,0,1,4,7,10,10,10,10,10,10,1,1,1,4,5,4,10,-2,-2,2,4,4,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36078002,3607801,3607801,2017,30,"bhp",1982,1,-5,2,3,2,4,4,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,10,-2,-2,2,4,4,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36078002,3607801,3607801,2018,30,"bip",1982,1,-5,2,3,2,4,4,-1,-2,-1,-1,3,4,4,4,10,10,10,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,10,-2,-2,2,4,4,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36078003,3607801,3607801,2016,30,"bgp",1991,2,5,2,-1,-8,3,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,0,0,1,1,7,5,0,10,10,10,10,2,2,7,4,4,3,10,-2,-2,2,5,3,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36078003,3607801,3607801,2017,30,"bhp",1991,2,-5,2,3,2,4,2,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,10,-2,-2,2,5,3,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36078003,3607801,3607801,2018,30,"bip",1991,2,-5,2,3,2,4,4,-1,-2,-1,-1,3,4,4,4,-1,-1,10,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,10,-2,-2,2,5,3,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36079501,3607950,3607950,2016,30,"bgp",1978,1,4,2,6,-8,2,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,5,5,5,1,1,7,10,5,10,10,10,10,5,5,1,1,3,2,19,3,2,2,4,2,2014,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,1,-1,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2
36079501,3607950,3607950,2017,30,"bhp",1978,1,-5,2,3,3,3,2,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,19,3,2,2,4,2,2014,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,1,-1,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2
36079501,3607950,3607950,2018,30,"bip",1978,1,-5,2,3,4,3,3,2,-2,2,3,2,1,1,4,10,10,10,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,19,3,2,2,4,2,2014,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,1,-1,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2
36079502,3607950,3607950,2016,30,"bgp",1986,2,4,2,-2,-8,3,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,2,5,1,1,7,10,5,10,10,10,10,5,5,1,1,4,3,19,2,2,2,-2,2,2015,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36079502,3607950,3607950,2017,30,"bhp",1986,2,-5,2,3,1,4,4,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,19,2,2,2,-2,2,2015,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36079502,3607950,3607950,2018,30,"bip",1986,2,-5,2,3,1,4,3,2,-2,4,2,3,4,4,-1,10,10,10,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,19,2,2,2,-2,2,2015,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36080501,3608050,3608050,2016,30,"bgp",1989,2,4,2,1,-8,3,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,2,9,2,2,1,7,7,10,0,10,0,10,10,7,7,1,1,1,3,1,-2,-2,2,-2,3,2015,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36080501,3608050,3608050,2017,30,"bhp",1989,2,-5,2,3,7,3,2,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,-2,-2,2,-2,3,2015,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36080501,3608050,3608050,2018,30,"bip",1989,2,-5,2,1,7,3,3,2,-2,5,1,3,4,4,-1,7,8,5,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,-2,-2,2,-2,3,2015,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36081001,3608107,3608107,2016,30,"bgp",1991,2,7,2,2,-8,2,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,7,-1,9,-1,4,7,7,-1,5,-1,-1,10,7,-1,1,1,4,2,-2,-1,-1,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-1,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36081001,3608107,3608107,2017,30,"bhp",1991,2,-5,2,3,7,4,2,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-2,-1,-1,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-1,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36081001,3608107,3608107,2018,30,"bip",1991,2,-5,2,3,1,2,2,-1,-2,3,-1,3,-1,4,-1,10,10,10,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-2,-1,-1,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-1,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36084201,3608425,3608425,2016,30,"bgp",1985,2,4,2,3,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,4,19,3,3,2,-2,3,2014,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
